lsuarez        2010-02-23 07:42:54 D D
gherbas        2010-02-23 08:00:25 D D
rchumacero     2010-02-23 08:01:50 D D
asaldias       2010-02-23 08:02:17 D D
ecaero         2010-02-23 08:02:26 D D
jfuertes       2010-02-23 08:06:18 D D
rarteaga       2010-02-23 08:11:07 D D
jdurandal      2010-02-23 08:13:44 D D
plema          2010-02-23 08:14:27 D D
msinaniz       2010-02-23 08:14:57 D D
tsoliz         2010-02-23 08:16:59 D D
mzambrana      2010-02-23 08:17:21 D D
frojas         2010-02-23 08:18:00 D D
jsolorzano     2010-02-23 08:18:40 D D
mayma          2010-02-23 08:18:54 D D
layllon        2010-02-23 08:19:24 D D
mgonzalez      2010-02-23 08:20:08 D D
rayala         2010-02-23 08:20:15 D D
dpalomino      2010-02-23 08:20:23 D D
hvillegas      2010-02-23 08:20:31 D D
jguarachi      2010-02-23 08:20:38 D D
rpereira       2010-02-23 08:21:02 D D
farnez         2010-02-23 08:21:35 D D
scastro        2010-02-23 08:21:48 D D
rmedrano       2010-02-23 08:21:58 D D
amachaca       2010-02-23 08:23:02 D D
jbaptista      2010-02-23 08:23:32 D D
rcordova       2010-02-23 08:23:40 D D
wrioja         2010-02-23 08:24:38 D D
rsalamanca     2010-02-23 08:25:46 D D
rvia           2010-02-23 08:25:53 D D
adelgadillo    2010-02-23 08:26:00 D D
oantezana      2010-02-23 08:26:10 D D
esanabria      2010-02-23 08:26:16 D D
rbueno         2010-02-23 08:26:25 D D
agarcia        2010-02-23 08:26:38 D D
drocabado      2010-02-23 08:27:17 D D
jrivera        2010-02-23 08:29:00 D D
cacastellon    2010-02-23 08:29:23 D D
sclaros        2010-02-23 08:29:32 D D
mcarvajal      2010-02-23 08:30:19 D D
ebeltran       2010-02-23 08:30:29 D D
kmontalvo      2010-02-23 08:30:33 D D
ovelarde       2010-02-23 08:30:51 D D
dcastro        2010-02-23 08:30:58 D D
csubieta       2010-02-23 08:31:08 D D
galcala        2010-02-23 08:31:14 D D
avillegas      2010-02-23 08:31:26 D D
oferrufino     2010-02-23 08:33:43 D D
gvelasquez     2010-02-23 08:33:48 D D
rclaure        2010-02-23 08:33:54 D D
mmejia         2010-02-23 08:34:00 D D
smarino        2010-02-23 08:34:08 D D
jcarvallo      2010-02-23 08:34:27 D D
jsiles         2010-02-23 08:34:56 D D
schopitea      2010-02-23 08:35:12 D D
fvega          2010-02-23 08:35:19 D D
acamacho       2010-02-23 08:35:28 D D
dmitma         2010-02-23 08:35:39 D D
rbaldelomar    2010-02-23 08:36:36 D D
esolis         2010-02-23 08:37:52 D D
gcastro        2010-02-23 08:38:11 D D
bgranado       2010-02-23 08:38:20 D D
jquispe        2010-02-23 08:38:49 D D
dsuarez        2010-02-23 08:38:58 D D
rrodriguez     2010-02-23 08:39:12 D D
mmontano       2010-02-23 08:39:42 D D
icvargas       2010-02-23 08:42:36 D D
dhuarita       2010-02-23 08:42:44 D D
krojas         2010-02-23 08:53:16 D D
cvalverde      2010-02-23 08:53:24 D D
wrioja         2010-02-23 12:28:50 D D
aencinas       2010-02-23 12:30:08 0 D
rbueno         2010-02-23 12:30:14 0 D
ebeltran       2010-02-23 12:30:27 0 D
jfuertes       2010-02-23 12:30:58 0 D
kmontalvo      2010-02-23 12:32:03 0 D
mgonzalez      2010-02-23 12:32:13 0 D
fvega          2010-02-23 12:32:24 0 D
mmontano       2010-02-23 12:32:53 0 D
drocabado      2010-02-23 12:33:03 0 D
randia         2010-02-23 12:33:11 0 D
csubieta       2010-02-23 12:33:22 0 D
jsiles         2010-02-23 12:33:29 0 D
cquiroga       2010-02-23 12:33:37 0 D
bgranado       2010-02-23 12:34:02 0 D
mmejia         2010-02-23 12:34:09 0 D
galcala        2010-02-23 12:34:34 0 D
ecaero         2010-02-23 12:34:40 0 D
asaldias       2010-02-23 12:34:47 0 D
plema          2010-02-23 12:35:03 D D
farnez         2010-02-23 12:35:09 0 D
rmedrano       2010-02-23 12:35:23 0 D
esanabria      2010-02-23 12:35:33 D D
rrodriguez     2010-02-23 12:35:40 0 D
schopitea      2010-02-23 12:35:56 0 D
jbaptista      2010-02-23 12:36:03 0 D
gherbas        2010-02-23 12:36:09 0 D
scastro        2010-02-23 12:36:35 0 D
avillegas      2010-02-23 12:36:43 0 D
sclaros        2010-02-23 12:36:50 0 D
krojas         2010-02-23 12:36:55 0 D
rarteaga       2010-02-23 12:37:01 0 D
oferrufino     2010-02-23 12:37:08 0 D
gcastro        2010-02-23 12:37:17 0 D
